messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,11,33854,-1.31716,11.6201,99.3,8.34,2.4
2,12,33878,3.81151,1.2331,155.1,6.99,1.4
2,23,33954,1.6,-32.4207,270,12.25,1.7
2,21,33987,-8,64.0126,90,13.56,-0.2
2,24,33978,1.6,-17.5209,271.7,10.89,1.3
2,22,33990,-8,38.9833,90,11.83,1.7
2,11,34054,-1.5587,13.3109,98.1,8.71,1.3
2,12,34078,2.57952,1.97229,149,7.34,1.7
2,9,34136,8,-95.5191,270,15.47,-0.5
2,19,34204,65.1188,8,0,11.35,-0.4
2,23,34254,1.6,-36.1883,270,12.83,1.8
2,11,34254,-1.6,15.0925,95.7,9.11,2.1
2,12,34278,1.64815,3.11975,143.1,7.77,1.4
2,21,34287,-8,68.0839,90,13.57,0.3
2,24,34278,1.6,-20.8811,270,11.48,2.3
2,22,34290,-8,42.6212,90,12.4,2.2
