timestep_time,edge_id,lane_id,vehicle_id,vehicle_pos,vehicle_speed
17.00,1to0,1to0_0,flow0.4,46.27,5.84
17.00,1to0,1to0_0,flow0.2,67.92,6.89
17.00,1to0,1to0_0,flow0.0,131.64,7.32
17.00,1to0,1to0_1,flow0.3,49.19,8.74
17.00,1to0,1to0_1,flow0.1,94.83,9.57
17.00,1to0,1to0_2,flow0.5,35.07,10.70
17.00,2to0,2to0_0,flow1.4,6.47,1.93
17.00,2to0,2to0_0,flow1.3,35.82,9.66
17.00,2to0,2to0_1,flow1.2,65.59,9.10
17.00,2to0,2to0_1,flow1.0,135.04,8.62
17.00,2to0,2to0_2,flow1.1,145.99,15.10
17.00,3to0,3to0_0,flow2.5,5.10,0.00
17.00,3to0,3to0_0,flow2.4,14.57,3.91
17.00,3to0,3to0_0,flow2.3,32.65,6.95
17.00,3to0,3to0_0,flow2.2,63.57,8.86
17.00,3to0,3to0_0,flow2.0,119.20,7.17
17.00,3to0,3to0_1,,,
17.00,3to0,3to0_2,flow2.1,162.94,18.73
17.00,4to0,4to0_0,flow3.6,7.77,1.92
17.00,4to0,4to0_0,flow3.5,29.78,7.59
17.00,4to0,4to0_0,flow3.4,52.47,9.23
17.00,4to0,4to0_0,flow3.2,94.36,9.01
17.00,4to0,4to0_0,flow3.0,122.27,6.56
17.00,4to0,4to0_1,flow3.3,59.64,6.47
17.00,4to0,4to0_1,flow3.1,106.51,9.34
17.00,4to0,4to0_2,,,
18.00,1to0,1to0_0,flow0.6,5.51,1.07
18.00,1to0,1to0_0,flow0.4,51.13,4.86
18.00,1to0,1to0_0,flow0.2,75.21,7.29
18.00,1to0,1to0_0,flow0.0,139.05,7.41
18.00,1to0,1to0_1,flow0.3,57.74,8.56
18.00,1to0,1to0_1,flow0.1,103.50,8.67
18.00,1to0,1to0_2,flow0.5,50.54,15.47
18.00,2to0,2to0_0,flow1.4,9.12,2.65
18.00,2to0,2to0_0,flow1.3,43.28,7.46
18.00,2to0,2to0_1,flow1.2,75.38,9.80
18.00,2to0,2to0_1,flow1.0,143.67,8.63
18.00,2to0,2to0_2,flow1.1,164.15,18.16
18.00,3to0,3to0_0,flow2.5,6.38,1.28
18.00,3to0,3to0_0,flow2.4,18.54,3.97
18.00,3to0,3to0_0,flow2.3,41.40,8.75
18.00,3to0,3to0_0,flow2.2,72.23,8.67
18.00,3to0,3to0_0,flow2.0,128.59,9.39
18.00,3to0,3to0_1,,,
18.00,3to0,3to0_2,flow2.1,179.47,16.53
18.00,4to0,4to0_0,flow3.7,3.10,0.00
18.00,4to0,4to0_0,flow3.6,10.70,2.93
18.00,4to0,4to0_0,flow3.5,36.60,6.82
18.00,4to0,4to0_0,flow3.4,59.94,7.47
18.00,4to0,4to0_0,flow3.0,132.02,9.75
18.00,4to0,4to0_1,flow3.3,68.00,8.37
18.00,4to0,4to0_1,flow3.2,101.17,6.81
18.00,4to0,4to0_1,flow3.1,115.38,8.87
18.00,4to0,4to0_2,,,
19.00,1to0,1to0_0,flow0.6,6.78,1.27
19.00,1to0,1to0_0,flow0.4,57.37,6.24
19.00,1to0,1to0_0,flow0.0,146.20,7.15
19.00,1to0,1to0_1,flow0.3,65.36,7.62
19.00,1to0,1to0_1,flow0.2,85.18,9.98
19.00,1to0,1to0_1,flow0.1,112.62,9.11
